Appraisal Result,itemid,topaz_name,match_type,is_equipment,flag,best_guess
Acid Bolt Quiver,5335,acid bolt quiver,exact,N,,
Aht Urhgan Brass Ingot,2418,aht urhgan brass ingot,exact,N,,
Aileron Mantle,16221,aileron mantle,exact,Y,,
Akinji Bazubands,14939,akinji bazubands,exact,Y,,
Apkallu Egg,5568,apkallu egg,exact,N,,
Apple Mint,1523,sprig of apple mint,fuzzy,N,,
Archer's Ring,13514,archers ring,exact,Y,,
Argent Dagger,17997,argent dagger,exact,Y,,
Ash Clogs,12984,ash clogs,exact,Y,,
Assassin's Jambiya,18017,assassins jambiya,exact,Y,,
Ataractic Solea,15705,ataractic solea,exact,Y,,
Beak Gloves +1,13960,beak gloves +1,exact,Y,,
Beetle Earring,13323,beetle earring,exact,Y,,
Beetle Quiver,4221,beetle quiver,exact,N,,
Beta Earring,15988,beta earring,exact,Y,,
Betta,5139,betta,exact,N,,
Black Ghost,5138,black ghost,exact,N,,
Blind Bolt Quiver,5334,blind bolt quiver,exact,N,,
Blizzard Toporok,18225,blizzard toporok,exact,Y,,
Bloody Bolt Quiver,5339,bloody bolt quiver,exact,N,,
Bomb Ash,928,pinch of bomb ash,fuzzy,N,AMBIGUOUS,Y
Bomb Ash,1669,pinch of hoary bomb ash,fuzzy,N,AMBIGUOUS,
Bone Chip,880,bone chip,exact,N,,
Bone Earring,13321,bone earring,exact,Y,,
Bone Quiver,4220,bone quiver,exact,N,,
Bowman's Ledelsens,15744,bowmans ledelsens,exact,Y,,
Bowman's Mask,16126,bowmans mask,exact,Y,,
Brass Ring,13465,brass ring,exact,Y,,
Brass Zaghnal,16769,brass zaghnal,exact,Y,,
Breeder Mufflers,15001,breeder mufflers,exact,Y,,
Bronze Bolt Quiver,4227,bronze bolt quiver,exact,N,,
Bronze Bullet Pouch,5359,bronze bullet pouch,exact,N,,
Bronze Cap +1,12463,bronze cap +1,exact,Y,,
Bronze Leggings +1,12951,bronze leggings +1,exact,Y,,
Bronze Mittens +1,12695,bronze mittens +1,exact,Y,,
Brz. Subligar +1,12823,"bronze_subligar_+1 (matched via sortname, not name)",manual,Y,,
Bullet Pouch,5363,bullet pouch,exact,N,,
Caballero Gauntlets,15000,caballero gauntlets,exact,Y,,
Carline Earring,15995,carline earring,exact,Y,,
Carline Ribbon,16127,carline ribbon,exact,Y,,
Chi Necklace,15535,chi necklace,exact,Y,,
Circlet,12472,circlet,exact,Y,,
Cleaning Tool Set,113,cleaning tool set,exact,N,,
Copper Ore,640,chunk of copper ore,fuzzy,N,,
Copper Ring,13454,copper ring,exact,Y,,
Cotton Cape +1,13601,cotton cape +1,exact,Y,,
Cotton Gloves,12721,cotton gloves,exact,Y,,
Cotton Headgear,12465,cotton headgear,exact,Y,,
Crossbow +1,17225,crossbow +1,exact,Y,,
Cuffs,12728,cuffs,exact,Y,,
Culverin,17252,culverin,exact,Y,,
Culverin +1,18147,culverin +1,exact,Y,,
Curate's Hat,16081,curates hat,exact,Y,,
Czar's Belt,15868,czars belt,exact,Y,,
Date,5566,date,exact,N,,
Deductive Gold Obi,15460,deductive gold obi,exact,Y,,
Demon Quiver,4224,demon quiver,exact,N,,
Dhalmel Mantle +1,13600,dhalmel mantle +1,exact,Y,,
Distilled Water,4509,flask of distilled water,fuzzy,N,,
Djinnbringer,18387,djinnbringer,exact,Y,,
Dragon Kote,14951,dragon kote,exact,Y,,
Dragon Scales,867,handful of dragon scales,fuzzy,N,,
Durandal,17700,durandal,exact,Y,,
Eggplant,4388,eggplant,exact,N,,
Elusive Earring,14761,elusive earring,exact,Y,,
Enhancing Mantle,13624,enhancing mantle,exact,Y,,
Enthralling Gold Obi,15461,enthralling gold obi,exact,Y,,
Epsilon Earring,15987,epsilon earring,exact,Y,,
Epsilon Ring,15798,epsilon ring,exact,Y,,
Erik's Axe,18487,eriks axe,exact,Y,,
Eta Earring,15986,eta earring,exact,Y,,
Ether Ring,13549,ether ring,exact,Y,,
Evoker's Boots,15325,evokers boots,exact,Y,,
Feather Collar,13075,feather collar,exact,Y,,
Flan Meat,2175,chunk of flan meat,fuzzy,N,,
Flan Smasher,18843,flan smasher,exact,Y,,
Gamma Earring,15989,gamma earring,exact,Y,,
Gardenia Seed,1472,gardenia seed,exact,N,,
Glass Sheet,1887,glass sheet,exact,N,,
Gleeman's Belt,15293,gleemans belt,exact,Y,,
Gold Ore,737,chunk of gold ore,fuzzy,N,AMBIGUOUS,Y
Gold Ore,2765,chunk of fools gold ore,fuzzy,N,AMBIGUOUS,
