Source Key,Zone,Mission,??? Item Type,Appraisal Result,Reference Source,itemid,is_equipment
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_RING,Leujaoam Sanctum,Leujaoam Cleansing,??? Ring,Imperial Ring,FFXIclopedia,15773,Y
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_RING,Leujaoam Sanctum,Leujaoam Cleansing,??? Ring,Archer's Ring,FFXIclopedia,13514,Y
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_RING,Leujaoam Sanctum,Leujaoam Cleansing,??? Ring,Brass Ring,FFXIclopedia,13465,Y
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_RING,Leujaoam Sanctum,Leujaoam Cleansing,??? Ring,Copper Ring,FFXIclopedia,13454,Y
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,White Rock,FFXIclopedia,776,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Phalaenopsis,FFXIclopedia,1411,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Lakerda,FFXIclopedia,5450,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Tsurara,FFXIclopedia,1164,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Ice Crystal,FFXIclopedia,4097,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Merrow Scale,FFXIclopedia,2146,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Soulflayer Staff,FFXIclopedia,2336,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Iron Bullet Pouch,FFXIclopedia,5353,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Glass Sheet,FFXIclopedia,1887,
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Gardenia Seed,FFXIclopedia,1472,N
LEUJAOAM_SANCTUM_LEUJAOAM_CLEANSING_BOX,Leujaoam Sanctum,Leujaoam Cleansing,??? Box,Toolbag (Jusa),FFXIclopedia,5315,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_GLOVES,Leujaoam Sanctum,Orichalcum Survey,??? Gloves,Storm Gages,FFXIclopedia,14937,Y
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_NECKLACE,Leujaoam Sanctum,Orichalcum Survey,??? Necklace,Storm Muffler,FFXIclopedia,15519,Y
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_NECKLACE,Leujaoam Sanctum,Orichalcum Survey,??? Necklace,Jagd Gorget,FFXIclopedia,13165,Y
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_NECKLACE,Leujaoam Sanctum,Orichalcum Survey,??? Necklace,Feather Collar,FFXIclopedia,13075,Y
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_NECKLACE,Leujaoam Sanctum,Orichalcum Survey,??? Necklace,Gorget +1,FFXIclopedia,13065,Y
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Eggplant,FFXIclopedia,4388,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Gardenia Seed,FFXIclopedia,1472,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Ice Crystal,FFXIclopedia,4097,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Kabura Quiver,FFXIclopedia,5332,N
